SMILES,dockscore
CNC(=O)[C@@H]1CCN(c2nnc(C3CC3)n2C2CC2)C1,-37.47
Cc1nocc1CNC[C@@H](c1ccco1)N1CCCCC1,-33.31
C[C@@H]1CCN(C(=O)[C@@H]2CCO[C@H]2c2cnn(C)c2)CC1(C)C,-35.61
CCC(CO)(CO)NC(=O)Nc1ccc2cc(OC)ccc2c1,-35.29
COC(=O)c1ccoc1CN1C[C@H](C)C[C@H](C)[C@H]1C,-21.95
COCCC[C@H](C)C(=O)Nc1nnc(C)n1C1CC1,-30.86
O=C(Nc1ccc2c(c1)CNCCO2)[C@@H]1C[C@@H]1c1c(F)cccc1F,-23.48
CN(C)c1ccccc1CN1CCCC[C@H]1Cn1ccnn1,-17.66
CCN(CC)C(=O)N1CCCC[C@H]1COC(=O)NC,-20.12
CCC(CC)CNC(=O)[C@H](NC(=O)c1ccco1)C(C)C,-19.8
Cc1c([C@H](C)NC[C@H](O)C2CCCCC2)nnn1-c1ccc(F)cc1,-29.15
CN1CCC[C@@H](C(=O)NC[C@H](O)C2CCC2)C1=O,-39.14
C[C@@H](C(=O)OC(C)(C)C)N(C(=O)c1ccncc1Cl)C1CC1,-28.71
Clc1ccc(-n2cc(CN3CCO[C@H]4CCOC[C@@H]43)nn2)cc1,-30.04
C[C@@H]1C[C@H](C(=O)N2CCC(=O)Nc3ccccc32)CO1,-34.9
CCC(CC)[C@@H]1C[C@H](NC(=O)NCCC[C@@H]2CCOC2)CCO1,-24.67
COC[C@@](C)(O)CCNS(=O)(=O)Cc1c(C)cccc1C,-28.02
C[C@@H](CN1CCCCC1)Nc1nc(-c2ccccn2)nc2c1CCC2,-22.97
COc1ccc(OC)c(CCC(=O)N2CC[C@]3(CCC[C@@H]3N)C2)c1,-23.94
COC(=O)COc1cccc(C(=O)Nc2nccc3sccc32)c1,-35.92
C[C@H]1CN(C(=O)NCC2(c3ccccn3)CCC2)C[C@]2(CCOC2)O1,-30.62
C[C@H](Oc1ccc(Cl)cc1[N+](=O)[O-])C(=O)NC[C@H]1CCCC1=O,-32.39
CN(C)C(=O)CC(=O)N1CCC[C@H]2CCCC[C@@H]21,-38.3
COC(=O)[C@]12CN(c3ccc(C#N)cc3F)C[C@H]1CCCC2,-35.05
C[C@@H]1CCN(C(=O)NCCc2cn(C)c3cc(F)ccc23)[C@H]1CO,-25.88
C[C@H]1CN(c2nccnc2C#N)CCN1CCC1OCCCO1,-31.12
CCC[C@@H](CNc1cc(C(=O)OCC)c(Cl)cn1)OC,-40.39
N#Cc1ccc(OC2CN(C(=O)N[C@@H]3COc4ccccc43)C2)cc1,-35.67
COCCOC1CCN(C[C@H](C)c2ccccc2)CC1,-15.94
COc1ccc(CCNC(=O)N2CCC[C@](C)(OC)CC2)cc1F,-30.33
COC[C@H]1CCCCN1C(=O)Nc1ccc2cc[nH]c2c1,-25.78
C[C@@H]1[C@H](C)N(C(=O)c2n[nH]c3c2CCC3)CCN1C(=O)OC(C)(C)C,-36.48
COCc1noc([C@@H](C)N[C@@H]2CCCN(c3cc(C)nc(C)n3)C2)n1,-22.44
C[C@@H]1CC(C)(C)CC[C@@H]1NC(=O)C(=O)NC[C@@H]1CC(=O)N(C2CC2)C1,-32.85
O=C(N[C@@H]1CCC[C@@H]1CCO)C1CCN(Cc2ccccc2)CC1,-24.37
CCc1nnc(CN2C(=O)N[C@@H](C[C@@H](C)CC)C2=O)s1,-37.72
C[C@H]1CCN(C(=O)CCCOc2ccc(C(C)(C)C)cc2)[C@@H]1CO,-44.75
Cn1nccc1[C@H]1[C@H](NC2CC3(CCC3)C2)CC(=O)N1C1CC1,-16.55
CCOC(=O)CC1(NCCC(=O)N(C)CC)CCCC1,-12.7
C[C@H](OCc1ccccc1)C(=O)NCCc1cn2c(n1)SCC2,-31.72
CCOc1ccc(CN[C@H](CO)CCSC)cc1F,-13.2
Cc1[nH]nc(C(=O)N2CCN[C@H](C)C2)c1[N+](=O)[O-],-24.18
COc1ccc2c(c1)C[C@@H](N[C@H]1CCN(CC(F)F)C1)CC2,-15.27
CC(C)N1CCC[C@H](CNC(=O)C(=O)N2C[C@H](CN)C[C@@H]2C)C1,-10.4
CCOc1cccc([C@@H]2C[C@@H]2NC(=O)[C@](C)(C#N)CC)c1,-30.22
CCO[C@H]1C[C@H](N=c2cncc(C(=O)OC)[nH]2)C12CCC2,-30.43
CCNC(=O)C(C)(C)NC(=O)Nc1ccc(-c2nccc(C)n2)cc1,-36.86
O=C(CCc1ccncc1)N1CC[C@]2(CCOC2)C1,-27.74
Cc1ccc([C@@H](C)N[C@H](C)C(=O)NCCF)cc1C,-11.53
COCc1nc(C(=O)Nc2ccc(-c3nc(C(C)C)no3)cc2)co1,-45.01
COc1cccc(CN2CCC[C@H](CCO)CC2)c1OC(F)F,-10.92
CCc1cnccc1C(=O)NCCNC(=O)c1ccc(F)cc1,-33.45
Cc1cc(C2CCN(C(=O)[C@@H]3CC[C@@H](C)[C@H](C)C3)CC2)n[nH]1,-35.67
COC(=O)N[C@H](C(=O)NCC(C)(C)CCCO)C(C)C,-22.47
C[C@H]1OCC[C@H]1NC(=O)CN1CCc2ccccc21,-24.65
O=c1cc(CN[C@H](CO)c2cccc(Br)c2)occ1O,-36.39
Cc1ccc(CN2C(=O)CC[C@@H]2C(=O)N[C@H](CO)C(C)C)cc1,-28.29
CC[C@@H](NC(=O)C(=O)Nc1ccccc1)c1nnc2n1CCCCC2,-28.1
CN[C@@H]1CCCN(Cc2cc(Cl)ccc2OC[C@@H]2CCCO2)C1,-23.91
Cc1ccc(CCCN[C@H]2CCO[C@@H]2c2ccccc2)cn1,-27.23
Cc1cc(C(=O)NC2CCC(S(C)(=O)=O)CC2)nn1C(F)F,-33.99
CN(C)S(=O)(=O)CCC(=O)NC1CC(c2ccc(F)cc2)C1,-36.02
O=C(COc1ccccc1[N+](=O)[O-])NCc1cnn2ccccc12,-38.15
CC(C)Oc1ccc(CNC(=O)[C@H]2C[C@@H]2C(C)C)cc1,-30.8
CCc1sc(C(=O)NCC(F)(F)F)cc1C,-30.4
COc1ccc(CCCC(=O)N2CCNC(=O)CC2)c(OC)c1,-33.36
C[C@H](NC(=O)[C@@H]1COc2ccccc2O1)c1ccc(F)c(F)c1,-30.14
CCCCOC(=O)CN1CC[C@@H]2[C@H](CCC(=O)N2C2CC2)C1,-43.0
CC(C)(NC(=O)C(=O)c1ccccc1)c1cccc(F)c1,-47.56
CC(C)(C)OC(=O)NC[C@@](C)(O)COc1ccc(C(N)=O)cc1,-32.77
COc1ccc(Cl)cc1CN(C)C(=O)[C@@H](N)c1cscn1,-30.11
O=C(O)[C@@H]1CCN(C(=O)c2cnn(-c3ccccc3F)c2)C1,-63.79
CN(C(=O)c1ccnc(F)c1)C(C)(C)CNC(=O)c1ccnc(F)c1,-34.12
C[C@@H](CN)NC(=O)C(=O)NCCCc1ccc2c(c1)OCCO2,-23.85
C[C@@H]1CN(Cc2cccc(S(=O)(=O)N(C)C)c2)C[C@H]1N(C)C,-21.72
Cc1ccccc1[C@@H](N)C(=O)NC[C@@H]1COc2ccccc2O1,-27.36
C[S@@](=O)c1ccc(NC(=O)CCCOCCc2ccccc2)cc1,-37.26
CC(C)Cn1c(C2CCCC2)nnc1N(C)[C@@H]1CCS(=O)(=O)C1,-41.43
CCN1C[C@@H](C)N(C(=O)NC2CCN(C(=O)OC)CC2)C[C@H]1C,-30.92
COc1cccc(Cl)c1CC(=O)N1CC(OC(F)F)C1,-38.72
C[C@H](CNC(=O)c1cc2nc[nH]c2cc1F)N1CCCCC1=O,-37.11
Cc1cc([C@@H]2CCCN(C(=O)CN3C(=O)NC(=O)C3(C)C)C2)n[nH]1,-42.81
COC(=O)c1scc(C)c1NC(=O)CCn1ncn(C)c1=O,-40.59
C[C@H](NC(=O)N1CCOC[C@H]1CC(F)F)c1cn[nH]c1,-31.67
CC(C)[C@](C)(O)C(=O)N1CCn2c(cc3ccc(Cl)cc32)C1,-33.45
O=C(c1ccc2nsnc2c1)N1C[C@@H](C2CC2)[C@H]1C1CC1,-30.6
O=C(Cc1ccco1)N1CCOC[C@H]1c1nccc(N2CCCC2)n1,-31.73
CC(=O)c1ccc(C(=O)N2CC[C@H]3OCCN[C@@H]3C2)o1,-38.53
C[C@@H]1C[C@@H](CNC(=O)[C@H]2CCCN(C(N)=O)C2)CCO1,-45.22
C[C@@H](CN)C(=O)N1CCN(c2ccc(F)cc2Cl)CC1,-19.34
O=C(COCCOc1ccccc1)N1CCc2ccncc21,-40.99
C[C@@H](NC(=O)c1ccco1)C(=O)N[C@@H](CO)c1ccsc1,-31.0
CCC(CC)NC(=O)[C@@H](C)SCc1nnnn1C1CC1,-35.67
C[C@@H]1CCC[C@]1(O)CNC(=O)c1c[nH]nc1[C@H]1CCOC1,-29.44
COc1ccccc1N1CC[C@H](NC(=O)c2ccc(C)cc2F)C1=O,-24.65
CC(C)(C)O[C@@H]1C[C@H](N[C@@H]2CCCC23CCOCC3)[C@@H]1n1cccn1,-14.27
C[C@@H]1CCC[C@@H](OCC(=O)NC[C@@H](C(=O)O)c2ccccc2)C1,-64.9
CN1CCOc2ccc(NC(=O)c3ccco3)cc2C1=O,-40.05
COc1ccsc1CNC[C@H]1C[C@@H](F)CN1Cc1noc(C)n1,-27.05
CCN1CCN(CC(=O)Nc2cccc(OC(F)F)c2)CC1,-31.21
Cc1ccc(CN(CCO)C(=O)CCCNC(=O)C2CC2)o1,-29.75
COCCOCCNC(=O)N1CC[C@@H](CC(C)(C)C)C1,-26.3
NCCN1CCN(c2ncc(C(F)(F)F)cc2Cl)CC1,-18.08
Cc1cc(O[C@@H](C)C(=O)NCC2(C)CCNCC2)ccc1Cl,-23.67
C[C@@H]1CCN(S(=O)(=O)NCc2ccc(C#N)cc2)C1,-41.22
Cc1ncc(-c2ccc(NC(=O)c3cc(O)nc(C4CC4)n3)cc2)o1,-37.44
Cc1ccc(C(=O)NC[C@@]2(N(C)C)CCSC2)nn1,-14.45
N#Cc1ccc(S(=O)(=O)N2CCO[C@@H](c3ccco3)C2)cn1,-36.19
O=C([C@@H]1CCCS1)N1CCC[C@H](c2nnc3n2CCC3)C1,-39.27
COC(=O)[C@@]1(c2ccccc2)CCN(Cc2ncc(C#N)cn2)C1,-30.9
CCCc1ccccc1NC(=O)N[C@]1(CO)COc2ccccc2C1,-29.28
O=C(Cn1ccnc1C1CC1)N[C@H]1CCCc2ccccc21,-32.63
CCOc1ccc(CNC(=O)N[C@H]2CS[C@@H](C)C2)cc1,-29.99
C[C@@H]1CCCN1C(=O)C(=O)Nc1ccc(OCC(N)=O)cc1,-43.26
CC(C)n1cnc(C(=O)N2CCCC[C@@H]2CN2CCOCC2)c1,-37.71
CCOc1cc(C(=O)N(C)c2cccc(CC)c2)on1,-34.83
CO[C@@H]1CCN2C(=O)N([C@@H](C)c3ncc(C)s3)C(=O)[C@@H]2C1,-32.78
O=S(=O)(CCN1CCCC1)N1CCOC[C@H](C2CCC2)C1,-24.02
Cc1cc(S(C)(=O)=O)c(C)c(S(=O)(=O)N[C@@H]2CC[C@@H](F)C2)c1,-28.23
O=C(c1cc2c(O)ncnc2cn1)N1CCC[C@@H]1c1ccsc1,-29.98
O=C([C@H]1C[C@@]12CCc1ccccc12)N1CC2(CC2)C1,-29.36
CCCCN(CC)C(=O)C(=O)NC1CCN(C[C@H]2CCOC2)CC1,-26.66
CN(C)C(=O)CCN[C@H](c1cnn(C)c1)c1cccc(F)c1,-30.88
CCc1ncc(NC(=O)[C@H](C)Oc2ccccc2F)cn1,-26.9
CCO[C@H]1C[C@H](N(C)C(=O)c2cc(C)n[nH]2)C1(CC)CC,-35.03
O=C(C1CC1)N1CCCN(S(=O)(=O)CCCF)CC1,-33.15
CO[C@@H](CS(=O)(=O)N(CC1CCC1)CC(F)(F)F)C1CC1,-28.63
C[C@H](O)C[C@@H]1COCCN1C(=O)c1nc(Br)cs1,-33.09
C[C@@H]1CC[C@H](NC(=O)C(=O)N2C[C@@H]3CCC[C@H](N)[C@@H]3C2)C[C@@H]1C,-22.08
CCN(C(=O)[C@@H](C)C1CCC1)[C@@H](C)CS(=O)(=O)CC,-15.86
Cc1occc1S(=O)(=O)[C@H](C)C(=O)NCC1CCCCC1,-27.37
CC(CO)(CO)NC(=O)C[C@H]1C(=O)NCCN1Cc1cccs1,-22.15
Cc1cc(C)cc(/C=C/C(=O)N2CCS(=O)(=O)C[C@H](C)C2)c1,-27.63
C[C@@H]1C(=O)NCCCN1C[C@@H](O)c1ccc(F)cc1Cl,-33.81
CCCN1C(=O)[C@H]2CC[C@@H]1CN(C(=O)c1snnc1C)C2,-28.76
CCOc1cc(NC(=O)C(=O)N2C[C@H](C)[C@H](C)[C@@H]2C)ccc1OC,-34.18
COCCNC(=O)[C@@H]1CC[C@H](C)N(C(=O)N[C@H]2CC[C@H](CN)C2)C1,-19.45
Cc1nn(CC(F)(F)F)c(C)c1[C@@H](C)C(=O)N[C@H](C)c1ncc[nH]1,-31.08
CC[C@@H](C)[C@H](NC(C)=O)C(=O)N(C)Cc1ccc(O)cc1,-28.25
CCO[C@@H]1CCN(C(=O)c2cc(OCC(F)F)ccn2)C[C@H]1C,-25.09
C[C@@H](C(=O)N(c1ccccc1)[C@H]1CCOC1)c1ccc2c(c1)OCO2,-29.18
CCN(Cc1occc1C)C(=O)c1ccc(S(N)(=O)=O)cn1,-38.88
CCCOc1cccc(C(=O)Nc2ccn(CCN(C)C)n2)c1,-20.08
COC[C@@H](NS(=O)(=O)c1cnn(C)c1)c1ccc(F)c(F)c1,-34.39
CN(C)C(=O)c1ccc(Cl)cc1NS(=O)(=O)N(C)C,-35.8
CCCN(CCC)S(=O)(=O)N(C)CCNC(C)=O,-23.76
O=C(CCCc1ccc(O)c(F)c1)N[C@H]1COC[C@H]1n1ccnn1,-39.36
CCN(Cc1nnc(C2CCC2)n1C)[C@@H](C)CS(=O)(=O)CC,-20.04
CCOc1ncc(C(=O)NCc2ccc(C(=O)NC)cc2)cc1Cl,-39.08
CCCC[C@H](CN)NC(=O)[C@@H]1C[C@H]1c1cc(OC)ccc1OC,-22.65
CSc1ccc(CCN[C@@H](C(=O)N(C)C)c2ccccc2)cc1,-18.06
Cc1nnc(COCC(=O)N2CC3(CCCC3)[C@H]2C(C)C)s1,-32.61
CCc1onc(-c2ccccc2)c1C(=O)NCc1n[nH]c(=N)o1,-67.29
CCCC1(CNC(=O)C(=O)N2CCc3c2cc(F)cc3F)CC1,-32.92
O=C(NCCn1ccccc1=O)N[C@H]1C[C@@H]1c1c(F)cccc1Cl,-36.68
C[C@@H]1[C@@H](C)[C@H](C)CN1C(=O)NCCOCC1CCC1,-24.54
CO[C@H](C)C(=O)N1C[C@@H](C)[C@H](NC(=O)OC(C)(C)C)C1,-30.99
CO[C@@H]1C[C@H](CO)N(C(=O)N[C@H](Cc2ccccc2)CN(C)C)C1,-20.38
CCOC(=O)N[C@@H]1CCCN(C(=O)[C@H]2C[C@@H]2C2CC2)C1,-27.5
CCOC(=O)[C@H](CNC(=O)[C@]12C[C@H]1CCN2)c1ccccc1,-23.01
CCC[C@@H](C)[C@H]1CCCN1C(=O)NCC1(N)CCC1,-12.66
Cc1c(NC(=O)c2cc3n(n2)CCCC3)cnn1C,-26.5
N#CCCCNC(=O)Cc1cnccc1C(F)(F)F,-33.43
COc1cc(CCO)ccc1NC(=O)c1ccnn1C1CCCC1,-31.45
CC(C)C1CCC(CNC(=O)NCC(C)(C)C#N)CC1,-31.16
COc1ccc(NC(=O)c2cn(C(C)C)nn2)c(C)c1,-37.72
CCc1nc(CNC(=O)N(C)CCc2cccc3ccccc32)n[nH]1,-43.53
COc1c(CNC(=O)Nc2ccc(Cl)c(Cl)c2)c(C)nn1C,-36.58
Cc1ncccc1NC(=O)C(=O)N[C@H]1CCO[C@H](C(C)C)C1,-28.26
COc1cccc(Cl)c1C(=O)NCCC=C(C)C,-24.97
CN(C[C@H](O)C(F)(F)F)C(=O)NC(C1CCC1)C1CCC1,-26.27
Cc1csc(C[S@@](=O)[C@@H](C)C(=O)NCC(C)C)n1,-27.34
O=C(NC[C@@H]1CCCC1(F)F)OC[C@@H]1CCCO1,-27.4
C[C@@H](CO)CCCNC(=O)NCCNC(=O)c1ccccc1F,-30.94
C=CCCOCCNC(=O)N(C)CCc1nccs1,-28.32
O=C(N[C@@H]1CCN(c2ccccc2OC(F)F)C1)c1nccs1,-29.5
C[C@@H](O)C1CCN(C(=O)CN2CCN(S(C)(=O)=O)CC2)CC1,-29.7
O=C(Nc1ccccc1F)N1CC[C@@](O)(C2CC2)C1,-38.86
C=CCSc1ccccc1C(=O)N[C@H]1CCCCC[C@H]1O,-23.6
CCC[C@]1(CO)CCCN1C(=O)c1cc(NC(C)=O)ccc1F,-37.21
CC[C@@H]1CCCN(C(=O)C(=O)N(CCCO)Cc2ccccc2)C1,-29.06
CC(C)C(=O)NCCNC(=O)[C@@H](C)NC(=O)/C=C/c1ccccc1,-24.97
CCc1noc(C)c1NC(=O)N[C@@H](C)c1ncnn1C,-32.83
C[C@H]1CC[C@@H](O)CN1C(=O)c1cn2ccccc2n1,-27.42
COC(=O)CCCCCNC(=O)[C@H]1CCC(=O)NC1,-27.68
CCc1nc(Cl)c(C)c(N2CC[C@H](c3nccn3C)C2)n1,-30.8
CO[C@](C)(C(=O)N[C@H]1C[C@@H](O)C1(C)C)c1ccccc1F,-22.41
CCS[C@H]1CCC[C@H]1NC(=O)c1ccc(N)cc1,-24.32
Cc1cc(C)cc(CCNC[C@@H](O)COc2cccc([N+](=O)[O-])c2)c1,-31.41
CC1(C)CCCN1CCNC1CCN(c2nccs2)CC1,-16.35
COCCCN(CCOC)C(=O)N[C@@H]1CCN2CCC[C@H]2C1,-20.63
CNC(=O)[C@@H]1CCCN(Cc2cnn(CC(F)F)c2)C1,-16.1
CC#CCN(C)S(=O)(=O)c1sc(C)nc1C,-33.67
O=C(Cn1cc(Br)cn1)NCc1ccncc1,-28.92
COc1ccccc1C[C@@H]1CCCN1C(=O)Nc1nnc(C)s1,-32.12
CN(Cc1ccc(C#N)cc1)C(=O)C(=O)N1CCCCCC1,-35.18
CCN(C(=O)[C@H]1COCCN1C)c1nc(C)cs1,-18.85
CCOC(=O)[C@@H]1CCCN(Cc2cc(F)cc(Cl)c2)C1,-37.83
O=C(NCCC1=CCCC1)c1csc(-c2nnc[nH]2)n1,-38.43
CC[C@@H](NC(=O)OC(C)(C)C)C(=O)Nc1ccn(CCC(C)C)n1,-27.63
C[C@@H]1CCN(C(=O)/C=C\C2CCCC2)C[C@H]1n1ccnc1,-38.82
COCCCOCCN(C)Cc1ccc(C(=O)OC)cn1,-28.89
C[C@@H]1OCCN(S(=O)(=O)c2ccc(N(C)C)nc2)[C@H]1C(N)=O,-26.52
C=CCCOCCNC(=O)Nc1scc(C)c1C#N,-30.11
Cc1ccncc1CNC(=O)c1cc(C(C)C)c(O)cc1C,-37.44
C[C@H]1CCC[C@@H]1NC(=O)N1CCCN(c2ccccc2C#N)CC1,-34.05
CCCc1noc([C@H](C)OC[C@H]2CCCCO2)n1,-28.23
Cc1ccc([C@@H](C)NC(=O)/C=C/C2CC2)cc1[N+](=O)[O-],-33.79
O=C([C@@H]1CC12CCCC2)N1CCS(=O)(=O)[C@@H]2CCCC[C@@H]21,-18.46
Cn1cc([C@H](CO)NC(=O)CCCc2cccs2)cn1,-35.2
CCCOC1(c2noc([C@@H]3CC[C@@H](C(=O)OC)O3)n2)CCCCC1,-35.07
CCOC(=O)CC1CCN(C(=O)c2cccnc2OCC(C)C)CC1,-25.46
COc1cccc(N2CC[C@H](CNC(=O)C[C@](C)(O)C3CC3)C2)c1,-33.85
CC[S@](=O)[C@@H]1CCC[C@@H](NC(=O)c2ccc(NC)s2)C1,-30.23
CCc1nc([C@H]2CCCN2C[C@H](O)CC(F)(F)F)no1,-26.7
CCCOc1ncc[nH]c1=N[C@@H](C)C(=O)NCc1ccccc1,-26.3
COc1cc2c(cc1CN[C@@H]1CCC[C@H]1N)O[C@@H](C)C2,-20.39
CCN(CC)Cc1ccccc1CNC(=O)NC[C@H]1CC[C@@H](O)C1,-23.63
COc1ccc([C@H](C)NS(=O)(=O)c2ccccn2)cc1,-43.39
O=C(NCCOc1ccc(F)cc1)NCCc1cc(F)ccc1F,-31.66
C[C@H]1O[C@@H](C)[C@@H](C)[C@@H]1NC(=O)c1ccc2nonc2c1,-33.06
O=C(N[C@H](CO)Cc1ccncc1)c1cc2cc([N+](=O)[O-])ccc2o1,-38.3
COC(=O)C1(NC(=O)C/C=C/c2ccc(C)cc2)CC1,-32.9
CC[C@@H]1CCC[C@H]1NCCOc1ccccc1C#N,-16.84
CC[C@H]1CN2CCC[C@@H]2CN1Cc1cn2cccnc2n1,-19.82
CC(=O)c1cccc(NC(=O)CN[C@@H]2CCCC2(C)C)c1,-28.76
CCC1(CC)CCN(C(=O)C(=O)N2CC[C@@H](CO)[C@@H]2C)C1,-28.41
C[C@H]1C[C@H](C)N1C(=O)c1ncccc1C(F)(F)F,-35.25
O=C(NCCN=c1ccc(-c2ccccc2)n[nH]1)c1ccccn1,-42.38
COC[C@H]1CCCN(C(=O)Cn2ccc(C(F)F)n2)C1,-28.76
CC(C)C[C@@H]1C[C@H]1C(=O)N[C@H]1CCO[C@@H](c2ccncc2)C1,-31.77
Cc1n[nH]cc1CN1CCC([C@@H]2CCCCCN2C(=O)C2CC2)CC1,-20.32
CC1(C)CN(C(=O)[C@@H](O)Cc2ccccc2)CC[C@H]1C(F)(F)F,-33.53
CCC[C@H](NC(C)C)C(=O)NC[C@@H]1CCCN1CC,-4.85
CC[C@H](C)[C@H](NC(C)=O)C(=O)N1CCN(CCOC(C)C)CC1,-23.64
Cc1nc2ccccc2n1CC(=O)N[C@H]1CCN(c2ccccn2)C1,-39.18
CCc1ccc(-c2nc(COCC(F)(F)C(F)F)no2)c(O)c1,-29.57
C#CCCCNC(=O)N[C@H]1COc2ccccc2[C@H]1O,-21.73
CCO[C@@H]1C[C@@H]1NC(=O)NC1CCN(S(C)(=O)=O)CC1,-31.43
CC[C@H](C)N(C)CCNC(=O)N=c1nc[nH]n1C(C)(C)C,-15.79
CCc1n[nH]c([C@@H]2CN(Cc3cc(F)cc(F)c3)CCO2)n1,-40.74
CC(C)[C@@H](CNC(=O)NCc1cccs1)N1CCCC1,-19.12
C[C@@H](NC(=O)Cc1cnccc1Cl)c1cccc(O)c1,-38.25
C[C@@H](C(=O)OC(C)(C)C)C(=O)N1CCN2C(=O)CC[C@@H]2C1,-31.53
CC(=O)N1CC[C@H](C(=O)N[C@@H]2CC(=O)N(C)C2=O)C1,-33.2
CSC[C@H](C)NC(=O)C(=O)N1CC[C@@H](Cc2cnn(C)c2)C1,-47.92
CCC[C@H](NS(=O)(=O)c1ccc2nc(Cl)cnc2c1)C(N)=O,-40.25
COC(=O)CC[C@H](N)C(=O)N1CCC(Oc2c(C)cccc2C)CC1,-19.72
O=C(NCC1CCN(Cc2ccccc2F)CC1)N1CC[C@H](CO)C1,-18.38
COc1cc(C#N)ccc1OCc1ccn(CC(F)(F)F)n1,-33.61
CCCN(C)CC(=O)N[C@@H](C)c1cccc(F)c1F,-20.73
CO[C@]1(CNC(=O)NCC(=O)NCC(F)F)CCOC1,-32.18
CCOc1ccc2cc(C(=O)N[C@H](c3ncc[nH]3)C(C)C)[nH]c2c1,-41.03
Cc1c(CCC(=O)N(C)CC2(CO)CC2)cnn1C,-33.82
CC[C@H](C)N1CC(=O)N(Cc2nc(C)no2)C1=O,-36.11
CCOc1cccc([N+](=O)[O-])c1C(=O)N[C@H](C)c1nnc(C)s1,-42.31
CCO[C@@H](C)C(=O)NCCC(=O)OCc1ccccc1,-30.52
COc1ccc(CN(C)C(=O)CCOc2ccc(C(C)=O)cc2)cc1,-32.16
CS(=O)(=O)[C@@H]1CSCCN1C(=O)[C@@H]1Cc2ccccc2O1,-25.57
CC(=O)c1cnc(NC(=O)c2c(C)nn3c2nc(C)cc3C)s1,-33.08
Cc1ccc2c(c1C)OC[C@H]2NC(=O)c1ccc(-c2ncon2)cc1,-32.08
C[C@H](NCCCN1CCCO[C@@H](C)C1)c1nccs1,-22.38
